	company_name	industry_name	industryID	first_date	first_employees_on_platform	first_followers_count	last_date	last_employees_on_platform	last_followers_count	slope1	r_value1	slope2	r_value2	z-score1	z-score2	industry_total
2247	Zions Bancorporation	Banking	5	2017-11-01 00:00:00	2838	7844	2018-02-17 00:00:00	2842	7859	0.39776823178335863	0.243744779240812	-4.3807767607160054e-05	-0.23646989942243943	-0.2710393928067367	-0.08070741663966699	327
2269	Patriot Bank, N.A.	Banking	5	2017-02-22 00:00:00	234	738	2018-07-17 00:00:00	241	840	5.296391960100282	0.9906209916687221	1.5028558793492752e-05	0.09913687316683538	-0.2673973626587127	-0.06881920523656831	327
2298	City National Bank	Banking	5	2015-09-21 00:00:00	2944	10831	2018-07-17 00:00:00	441	2577	-75.60223501457466	-0.11753010604349871	0.07459072947312567	0.24623352318949748	-0.3275438966070845	14.999621539459623	327
2302	California Bank &amp; Trust	Banking	5	2016-11-03 00:00:00	1274	5433	2017-01-31 00:00:00	1273	5546	39.432368844357875	0.9863702223151164	6.935615465371649e-05	0.1701767472151219	-0.24201793695878615	-0.05784200825437734	327
2341	Capitol Federal® Savings Bank	Banking	5	2016-11-19 00:00:00	323	899	2018-07-17 00:00:00	399	1121	11.614187093603627	0.993176260096831	9.77908426828324e-06	0.07000167365109772	-0.2627002065549994	-0.0698798911550926	327
2384	Hatteras Financial Corp (A39)	Banking	5	2017-11-01 00:00:00	0	10	2018-03-23 00:00:00	0	10	0.0	0.0	0.0	0.0	-0.27133512564363677	-0.07185581025511273	327
2386	Florida Community Bank	Banking	5	2016-11-19 00:00:00	515	2071	2018-07-17 00:00:00	638	3155	58.213545957011945	0.9860307469591354	1.4261009569660939e-05	0.10479613471877018	-0.2280545021139617	-0.06897429288383337	327
2400	Cathay Bank	Banking	5	2016-12-28 00:00:00	755	6702	2018-07-17 00:00:00	1010	9429	167.21573625572	0.9775225301439441	-4.27283313761691e-05	-0.3622868921744832	-0.14701352299696757	-0.08048931046453295	327
2408	Glacier Bancorp, Inc.	Banking	5	2017-11-01 00:00:00	203	1024	2018-02-17 00:00:00	204	1036	0.2835515268191351	0.21880357438997272	-0.0002698066644931076	-0.20804040574405308	-0.2711243106746846	-0.12637176768619043	327
2413	BCB Community Bank	Banking	5	2016-12-24 00:00:00	216	558	2018-07-17 00:00:00	456	917	18.99618981475206	0.9988525774198396	-1.5292219786379114e-05	-0.0681682662728544	-0.2572118330945509	-0.07494568946349761	327
